Academic Year,University,Level of study,Employment Situation,Occupation,Number of Graduates (Headcount)
2020/21,The Education University of Hong Kong,Taught postgraduate,Underemployed,Not in Full-time Employment,2
2020/21,The Education University of Hong Kong,Taught postgraduate,Unemployed,Not in Full-time Employment,1
2020/21,The Education University of Hong Kong,Undergraduate,FT employment,Accountants and Auditors,1
2020/21,The Education University of Hong Kong,Undergraduate,FT employment,Artists,2
2020/21,The Education University of Hong Kong,Undergraduate,FT employment,"Authors, Journalists and Related Writers",4
2020/21,The Education University of Hong Kong,Undergraduate,FT employment,Business Professionals,58
2020/21,The Education University of Hong Kong,Undergraduate,FT employment,Clerical and Related Workers,7
2020/21,The Education University of Hong Kong,Undergraduate,FT employment,Engineers,1
2020/21,The Education University of Hong Kong,Undergraduate,FT employment,Government Officials (General Grades),2
2020/21,The Education University of Hong Kong,Undergraduate,FT employment,"Insurance, Real Estate, and Business Services",5
2020/21,The Education University of Hong Kong,Undergraduate,FT employment,Legal Workers,1
2020/21,The Education University of Hong Kong,Undergraduate,FT employment,Managers,7
2020/21,The Education University of Hong Kong,Undergraduate,FT employment,Medical and Health Workers,11
2020/21,The Education University of Hong Kong,Undergraduate,FT employment,Other Professionals and Technical Workers,7
2020/21,The Education University of Hong Kong,Undergraduate,FT employment,Other Service Workers,5
2020/21,The Education University of Hong Kong,Undergraduate,FT employment,Physical and Life Scientists,1
2020/21,The Education University of Hong Kong,Undergraduate,FT employment,Protective Service Workers,3
2020/21,The Education University of Hong Kong,Undergraduate,FT employment,Sales/Service Workers,4
2020/21,The Education University of Hong Kong,Undergraduate,FT employment,System Analysts and Computer Programmers,5
2020/21,The Education University of Hong Kong,Undergraduate,FT employment,Teaching Profession,491
2020/21,The Education University of Hong Kong,Undergraduate,FT employment,Workers reporting occupations unidentifiable or inadequately described,1
2020/21,The Education University of Hong Kong,Undergraduate,Further studies,Not in Full-time Employment,94
2020/21,The Education University of Hong Kong,Undergraduate,Others,Not in Full-time Employment,29
2020/21,The Education University of Hong Kong,Undergraduate,Underemployed,Not in Full-time Employment,44
2020/21,The Education University of Hong Kong,Undergraduate,Unemployed,Not in Full-time Employment,12
2020/21,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Architects and Surveyors,1
2020/21,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Business Professionals,9
2020/21,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Clerical and Related Workers,1
2020/21,The Hong Kong Polytechnic University,Research postgraduate,FT employment,"Economists, Statisticians and Mathematicians",118
2020/21,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Engineers,10
2020/21,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Managers,5
2020/21,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Medical and Health Workers,1
2020/21,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Physical and Life Scientists,1
2020/21,The Hong Kong Polytechnic University,Research postgraduate,FT employment,System Analysts and Computer Programmers,5
2020/21,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Teaching Profession,27
2020/21,The Hong Kong Polytechnic University,Research postgraduate,Further studies,Not in Full-time Employment,21
2020/21,The Hong Kong Polytechnic University,Research postgraduate,Others,Not in Full-time Employment,79
2020/21,The Hong Kong Polytechnic University,Research postgraduate,Underemployed,Not in Full-time Employment,1
2020/21,The Hong Kong Polytechnic University,Research postgraduate,Unemployed,Not in Full-time Employment,2
2020/21,The Hong Kong Polytechnic University,Sub-degree,FT employment,Architects and Surveyors,2
2020/21,The Hong Kong Polytechnic University,Sub-degree,FT employment,Business Professionals,5
2020/21,The Hong Kong Polytechnic University,Sub-degree,FT employment,Engineering Technicians,8
2020/21,The Hong Kong Polytechnic University,Sub-degree,FT employment,Engineers,3
2020/21,The Hong Kong Polytechnic University,Sub-degree,FT employment,"Insurance, Real Estate, and Business Services",1
2020/21,The Hong Kong Polytechnic University,Sub-degree,FT employment,Other Professionals and Technical Workers,1
2020/21,The Hong Kong Polytechnic University,Sub-degree,FT employment,Other Service Workers,2
2020/21,The Hong Kong Polytechnic University,Sub-degree,FT employment,Physical and Life Science Technicians,2
2020/21,The Hong Kong Polytechnic University,Sub-degree,FT employment,System Analysts and Computer Programmers,2
2020/21,The Hong Kong Polytechnic University,Sub-degree,FT employment,Teaching Profession,3
2020/21,The Hong Kong Polytechnic University,Sub-degree,Further studies,Not in Full-time Employment,244
2020/21,The Hong Kong Polytechnic University,Sub-degree,Others,Not in Full-time Employment,18
2020/21,The Hong Kong Polytechnic University,Sub-degree,Underemployed,Not in Full-time Employment,4
2020/21,The Hong Kong Polytechnic University,Sub-degree,Unemployed,Not in Full-time Employment,5
2020/21,The Hong Kong Polytechnic University,Taught postgraduate,FT employment,Other Professionals and Technical Workers,9
2020/21,The Hong Kong Polytechnic University,Undergraduate,FT employment,Accountants and Auditors,180
2020/21,The Hong Kong Polytechnic University,Undergraduate,FT employment,Agriculture and Fishery Workers,1
2020/21,The Hong Kong Polytechnic University,Undergraduate,FT employment,Aircraft and Ship Officers,1
2020/21,The Hong Kong Polytechnic University,Undergraduate,FT employment,Architects and Surveyors,143
2020/21,The Hong Kong Polytechnic University,Undergraduate,FT employment,Artists,153
2020/21,The Hong Kong Polytechnic University,Undergraduate,FT employment,"Authors, Journalists and Related Writers",17
2020/21,The Hong Kong Polytechnic University,Undergraduate,FT employment,Business Professionals,759
2020/21,The Hong Kong Polytechnic University,Undergraduate,FT employment,Clerical and Related Workers,13
2020/21,The Hong Kong Polytechnic University,Undergraduate,FT employment,"Economists, Statisticians and Mathematicians",72
2020/21,The Hong Kong Polytechnic University,Undergraduate,FT employment,Engineering Technicians,26
2020/21,The Hong Kong Polytechnic University,Undergraduate,FT employment,Engineers,422
2020/21,The Hong Kong Polytechnic University,Undergraduate,FT employment,"Insurance, Real Estate, and Business Services",36
2020/21,The Hong Kong Polytechnic University,Undergraduate,FT employment,Managers,17
2020/21,The Hong Kong Polytechnic University,Undergraduate,FT employment,Medical and Health Workers,592
2020/21,The Hong Kong Polytechnic University,Undergraduate,FT employment,Occupations not elsewhere classified,1
2020/21,The Hong Kong Polytechnic University,Undergraduate,FT employment,Other Professionals and Technical Workers,65
2020/21,The Hong Kong Polytechnic University,Undergraduate,FT employment,Other Service Workers,74
2020/21,The Hong Kong Polytechnic University,Undergraduate,FT employment,Physical and Life Science Technicians,29
2020/21,The Hong Kong Polytechnic University,Undergraduate,FT employment,Physical and Life Scientists,6
2020/21,The Hong Kong Polytechnic University,Undergraduate,FT employment,Production and Related Workers,18
2020/21,The Hong Kong Polytechnic University,Undergraduate,FT employment,Protective Service Workers,4
2020/21,The Hong Kong Polytechnic University,Undergraduate,FT employment,Sales/Service Workers,17
2020/21,The Hong Kong Polytechnic University,Undergraduate,FT employment,System Analysts and Computer Programmers,167
2020/21,The Hong Kong Polytechnic University,Undergraduate,FT employment,Teaching Profession,102
2020/21,The Hong Kong Polytechnic University,Undergraduate,Further studies,Not in Full-time Employment,280
2020/21,The Hong Kong Polytechnic University,Undergraduate,Others,Not in Full-time Employment,245
2020/21,The Hong Kong Polytechnic University,Undergraduate,Underemployed,Not in Full-time Employment,129
2020/21,The Hong Kong Polytechnic University,Undergraduate,Unemployed,Not in Full-time Employment,71
2020/21,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Accountants and Auditors,1
2020/21,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,"Authors, Journalists and Related Writers",1
2020/21,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Business Professionals,10
2020/21,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Engineering Technicians,1
2020/21,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Engineers,25
2020/21,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Government Officials (General Grades),1
2020/21,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Managers,6
2020/21,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Medical and Health Workers,2
2020/21,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Other Professionals and Technical Workers,3
2020/21,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Physical and Life Scientists,10
2020/21,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Production and Related Workers,1
2020/21,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,System Analysts and Computer Programmers,7
2020/21,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Teaching Profession,133
2020/21,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Workers not reporting any occupation,37
2020/21,The Hong Kong University of Science and Technology,Research postgraduate,Further studies,Not in Full-time Employment,97
2020/21,The Hong Kong University of Science and Technology,Research postgraduate,Others,Not in Full-time Employment,127
